code,name,category,brand,model,unit,currency_code,sale_price,stock_quantity,minimum_stock,vat_rate,lead_time,description,technical_summary,is_active
10BASE-T1L-ADAPT-0,IP - T1L MEDIA ADAPTER (NO POWER SUPPLY),Controller Accessories,Honeywell,10BASE-T1L-ADAPT-0,adet,USDTRY,287.00,0,0,20,,IP - T1L MEDIA ADAPTER (NO POWER SUPPLY),,true
AUX-TRM-10-10,AUX TERMINAL BLOCK-10 WAY-PACK OF 10,Controller Accessories,Honeywell,AUX-TRM-10-10,adet,USDTRY,157.03,0,0,20,,AUX TERMINAL BLOCK-10 WAY-PACK OF 10,,true
AUX-TRM-16-10,AUX TERMINAL BLOCK-16 WAY-PACK OF 10,Controller Accessories,Honeywell,AUX-TRM-16-10,adet,USDTRY,206.11,0,0,20,,AUX TERMINAL BLOCK-16 WAY-PACK OF 10,,true
CL-CARE-80-SI,PROGRAMMING SOFTWARE CARE WITH DONGLE,Niagara Edge,Honeywell,CL-CARE-80-SI,adet,USDTRY,10300.00,0,0,20,,PROGRAMMING SOFTWARE CARE WITH DONGLE,,true
CLIF-CBUSLC,C-BUS INTERFACE,Niagara Edge,Honeywell,CLIF-CBUSLC,adet,USDTRY,2950.00,0,0,20,,C-BUS INTERFACE,,true
CLIOP830A,"PANEL IO 8AI, 8AO, 12DI, 6 DO, PUSH-IN",Niagara Edge,Honeywell,CLIOP830A,adet,USDTRY,710.20,0,0,20,,"PANEL IO 8AI, 8AO, 12DI, 6 DO, PUSH-IN",,true
CLIOP831A,MIXED I/O MODULE - PANEL BUS,Niagara Edge,Honeywell,CLIOP831A,adet,USDTRY,710.20,0,0,20,,MIXED I/O MODULE - PANEL BUS,,true
CLMERS4,BACNET MS/TP HVAC CONTROLLER,Niagara Edge,Honeywell,CLMERS4,adet,USDTRY,315.00,0,0,20,,BACNET MS/TP HVAC CONTROLLER,,true
CLMERS4N,BACNET MS/TP HVAC CONTROLLER,Niagara Edge,Honeywell,CLMERS4N,adet,USDTRY,347.22,0,0,20,,BACNET MS/TP HVAC CONTROLLER,,true
CLMERS5N,BACNET MS/TP HVAC CONTROLLER,Niagara Edge,Honeywell,CLMERS5N,adet,USDTRY,375.00,0,0,20,,BACNET MS/TP HVAC CONTROLLER,,true
CLNX-100N-SMA-1Y,SUP-100N MAINTENANCE 1 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-100N-SMA-1Y,adet,USDTRY,2175.00,0,0,20,,SUP-100N MAINTENANCE 1 YEAR EXTENSION,,true
CLNX-100N-SMA-3Y,SUP-100N MAINTENANCE 3 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-100N-SMA-3Y,adet,USDTRY,4400.00,0,0,20,,SUP-100N MAINTENANCE 3 YEAR EXTENSION,,true
CLNX-100N-SMA-5Y,SUP-100N MAINTENANCE 5 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-100N-SMA-5Y,adet,USDTRY,7250.00,0,0,20,,SUP-100N MAINTENANCE 5 YEAR EXTENSION,,true
CLNX-10N-SMA-1Y,SUP-10N MAINTENANCE 1 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-10N-SMA-1Y,adet,USDTRY,1570.00,0,0,20,,SUP-10N MAINTENANCE 1 YEAR EXTENSION,,true
CLNX-10N-SMA-3Y,SUP-10N MAINTENANCE 3 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-10N-SMA-3Y,adet,USDTRY,3050.00,0,0,20,,SUP-10N MAINTENANCE 3 YEAR EXTENSION,,true
CLNX-10N-SMA-5Y,SUP-10N MAINTENANCE 5 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-10N-SMA-5Y,adet,USDTRY,4725.00,0,0,20,,SUP-10N MAINTENANCE 5 YEAR EXTENSION,,true
CLNX-1N-SMA-1Y,SUP-1N MAINTENANCE 1 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-1N-SMA-1Y,adet,USDTRY,496.18,0,0,20,,SUP-1N MAINTENANCE 1 YEAR EXTENSION,,false
CLNX-1N-SMA-3Y,SUP-1N MAINTENANCE 3 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-1N-SMA-3Y,adet,USDTRY,830.00,0,0,20,,SUP-1N MAINTENANCE 3 YEAR EXTENSION,,true
CLNX-1N-SMA-5Y,SUP-1N MAINTENANCE 5 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-1N-SMA-5Y,adet,USDTRY,1321.25,0,0,20,,SUP-1N MAINTENANCE 5 YEAR EXTENSION,,true
CLNX-ALM-PORTALB,SUPERVISOR - ALARM PORTAL,Niagara Edge,Honeywell,CLNX-ALM-PORTALB,adet,USDTRY,742.95,0,0,20,,SUPERVISOR - ALARM PORTAL,,true
CLNX-C-DR-JSON,"JSON  INTEGRATION EHNX, HAWK8",Niagara Edge,Honeywell,CLNX-C-DR-JSON,adet,USDTRY,355.00,0,0,20,,"JSON  INTEGRATION EHNX, HAWK8",,true
CLNX-C-DR-MLS-8,"MILESTONE 8 CAMERA DRIVER EHNX, HAWK8",Niagara Edge,Honeywell,CLNX-C-DR-MLS-8,adet,USDTRY,2003.59,0,0,20,,"MILESTONE 8 CAMERA DRIVER EHNX, HAWK8",,true
CLNX-C-ESIG-250,E-SIGNATURE 250 SECURED POINTS,Niagara Edge,Honeywell,CLNX-C-ESIG-250,adet,USDTRY,6200.00,0,0,20,,E-SIGNATURE 250 SECURED POINTS,,true
CLNX-C-ESIG-UNL,E-SIGNATURE UNLIMITED SECURED POINTS,Niagara Edge,Honeywell,CLNX-C-ESIG-UNL,adet,USDTRY,20700.00,0,0,20,,E-SIGNATURE UNLIMITED SECURED POINTS,,true
CLNX-C-ESIG-UP250,E-SIGNATURE 250 SECURED POINT UPGRADE,Niagara Edge,Honeywell,CLNX-C-ESIG-UP250,adet,USDTRY,2075.00,0,0,20,,E-SIGNATURE 250 SECURED POINT UPGRADE,,true
CLNX-C-NA-100,"ANALYTICS FOR 100 POINTS EHNX, HAWK8",Niagara Edge,Honeywell,CLNX-C-NA-100,adet,USDTRY,1040.00,0,0,20,,"ANALYTICS FOR 100 POINTS EHNX, HAWK8",,true
CLNX-C-NA-1000,"ANALYTICS FOR 1000 POINTS EHNX, HAWK8",Niagara Edge,Honeywell,CLNX-C-NA-1000,adet,USDTRY,2832.30,0,0,20,,"ANALYTICS FOR 1000 POINTS EHNX, HAWK8",,true
CLNX-C-NA-250,"ANALYTICS FOR 250 POINTS EHNX, HAWK8",Niagara Edge,Honeywell,CLNX-C-NA-250,adet,USDTRY,1420.00,0,0,20,,"ANALYTICS FOR 250 POINTS EHNX, HAWK8",,true
CLNX-C-NA-500,"ANALYTICS FOR 500 POINTS EHNX, HAWK8",Niagara Edge,Honeywell,CLNX-C-NA-500,adet,USDTRY,2077.02,0,0,20,,"ANALYTICS FOR 500 POINTS EHNX, HAWK8",,true
CLNXCOACHSI,ANNUAL RENEWAL FEE FOR CL COACH NX,Niagara Edge,Honeywell,CLNXCOACHSI,adet,USDTRY,5956.42,0,0,20,,ANNUAL RENEWAL FEE FOR CL COACH NX,,true
CLNXCOACHSI1M,SUPPORT 1 MONTH CL BRAND NEW USERS ONLY,Niagara Edge,Honeywell,CLNXCOACHSI1M,adet,USDTRY,740.00,0,0,20,,SUPPORT 1 MONTH CL BRAND NEW USERS ONLY,,true
CLNXCOACHSI-STK1,ANNUAL RENEWAL FEE  COACH NX + 1 CLNXENG,Niagara Edge,Honeywell,CLNXCOACHSI-STK1,adet,USDTRY,7800.00,0,0,20,,ANNUAL RENEWAL FEE  COACH NX + 1 CLNXENG,,true
CLNXCOACHSI-STK5,ANNUAL RENEWAL FEE  COACH NX + 5 CLNXENG,Niagara Edge,Honeywell,CLNXCOACHSI-STK5,adet,USDTRY,9650.00,0,0,20,,ANNUAL RENEWAL FEE  COACH NX + 5 CLNXENG,,true
CLNX-DEVICE-UP-10,HAWK8 PLUS 500 POINTS UPGRADE,Niagara Edge,Honeywell,CLNX-DEVICE-UP-10,adet,USDTRY,3075.00,0,0,20,,HAWK8 PLUS 500 POINTS UPGRADE,,true
CLNX-DEVICE-UP-25,HAWK8 PLUS 1250 POINTS UPGRADE,Niagara Edge,Honeywell,CLNX-DEVICE-UP-25,adet,USDTRY,4475.00,0,0,20,,HAWK8 PLUS 1250 POINTS UPGRADE,,true
CLNX-DEVICE-UP-50,HAWK8 PLUS 2500 POINTS UPGRADE,Niagara Edge,Honeywell,CLNX-DEVICE-UP-50,adet,USDTRY,6800.00,0,0,20,,HAWK8 PLUS 2500 POINTS UPGRADE,,true
CLNX-DR-MFID,NX FIDELIO DRIVER,Niagara Edge,Honeywell,CLNX-DR-MFID,adet,USDTRY,4525.00,0,0,20,,NX FIDELIO DRIVER,,true
CLNX-DR-S-CSV,DRIVER FOR CSV  DATA MANAGEMENT,Niagara Edge,Honeywell,CLNX-DR-S-CSV,adet,USDTRY,4275.00,0,0,20,,DRIVER FOR CSV  DATA MANAGEMENT,,true
CLNX-DR-SMS-ALM,NX SMS DRIVER,Niagara Edge,Honeywell,CLNX-DR-SMS-ALM,adet,USDTRY,1830.00,0,0,20,,NX SMS DRIVER,,true
CLNX-DR-S-MYSQL,DRIVER FOR MYSQL DATABASE,Niagara Edge,Honeywell,CLNX-DR-S-MYSQL,adet,USDTRY,4700.00,0,0,20,,DRIVER FOR MYSQL DATABASE,,true
CLNX-DR-S-ORCL,DRIVER FOR ORCL 11G DATABASE,Niagara Edge,Honeywell,CLNX-DR-S-ORCL,adet,USDTRY,5402.35,0,0,20,,DRIVER FOR ORCL 11G DATABASE,,true
CLNX-DR-S-SQL,DRIVER FOR SQL DATABASE DRIVER,Niagara Edge,Honeywell,CLNX-DR-S-SQL,adet,USDTRY,4700.00,0,0,20,,DRIVER FOR SQL DATABASE DRIVER,,true
CLNXEH-BASLIC,"EHNX BASIC LIC 100 GLOBPTS, 255 PB + IO",Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-BASLIC,adet,USDTRY,1720.36,0,0,20,,"EHNX BASIC LIC 100 GLOBPTS, 255 PB + IO",,true
CLNXEH-BASLIC5005Y,EHNX BASIC LIC 500 GLOBPTS +IO+ 5Y SMA,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-BASLIC5005Y,adet,USDTRY,3400.00,0,0,20,,EHNX BASIC LIC 500 GLOBPTS +IO+ 5Y SMA,,true
CLNXEH-BASLIC-5Y,"EHNX BASLIC 100 GLOBPTS, 255PB+IO+5Y SMA",Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-BASLIC-5Y,adet,USDTRY,1550.00,0,0,20,,"EHNX BASLIC 100 GLOBPTS, 255PB+IO+5Y SMA",,true
CLNXEH-BASSMLIC,EHNX BASIC LIC 100 GLOBPTS 100 + IO + SM,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-BASSMLIC,adet,USDTRY,923.12,0,0,20,,EHNX BASIC LIC 100 GLOBPTS 100 + IO + SM,,true
CLNXEH-BASSPLIC,EHNX BASIC LIC 50 GLOBPTS 100 PB + IO,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-BASSPLIC,adet,USDTRY,912.63,0,0,20,,EHNX BASIC LIC 50 GLOBPTS 100 PB + IO,,true
CLNXEH-DEMO,DEMO LICENSE FOR EAGLEHAWK NX,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-DEMO,adet,USDTRY,830.00,0,0,20,,DEMO LICENSE FOR EAGLEHAWK NX,,true
CLNXEH-DEVICE-UP-1,EAGLEHAWK NX PLUS 50 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-DEVICE-UP-1,adet,USDTRY,820.00,0,0,20,,EAGLEHAWK NX PLUS 50 POINTS UPGRADE,,true
CLNXEH-DEVICE-UP10,EAGLEHAWK NX PLUS 500 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-DEVICE-UP10,adet,USDTRY,4100.00,0,0,20,,EAGLEHAWK NX PLUS 500 POINTS UPGRADE,,true
CLNXEH-DEVICE-UP-2,EAGLEHAWK NX PLUS 100 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-DEVICE-UP-2,adet,USDTRY,1420.00,0,0,20,,EAGLEHAWK NX PLUS 100 POINTS UPGRADE,,true
CLNXEH-DEVICE-UP25,EAGLEHAWK NX PLUS 1250 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-DEVICE-UP25,adet,USDTRY,4900.00,0,0,20,,EAGLEHAWK NX PLUS 1250 POINTS UPGRADE,,true
CLNXEH-DEVICE-UP50,EAGLEHAWK NX PLUS 2500 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-DEVICE-UP50,adet,USDTRY,4900.00,0,0,20,,EAGLEHAWK NX PLUS 2500 POINTS UPGRADE,,true
CLNXEH-OLDLIC-UP-1,EAGLEHAWK NX PLUS 50 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-OLDLIC-UP-1,adet,USDTRY,692.34,0,0,20,,EAGLEHAWK NX PLUS 50 POINTS UPGRADE,,true
CLNXEH-OLDLIC-UP10,EAGLEHAWK NX PLUS 500 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-OLDLIC-UP10,adet,USDTRY,2884.75,0,0,20,,EAGLEHAWK NX PLUS 500 POINTS UPGRADE,,true
CLNXEH-OLDLIC-UP-2,EAGLEHAWK NX PLUS 100 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-OLDLIC-UP-2,adet,USDTRY,923.12,0,0,20,,EAGLEHAWK NX PLUS 100 POINTS UPGRADE,,true
CLNXEH-OLDLIC-UP25,EAGLEHAWK NX PLUS 1250 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-OLDLIC-UP25,adet,USDTRY,4500.00,0,0,20,,EAGLEHAWK NX PLUS 1250 POINTS UPGRADE,,true
CLNXEH-OLDLIC-UP50,EAGLEHAWK NX PLUS 2500 POINTS UPGRADE,Plant Controllers w/ Onboard IO,Honeywell,CLNXEH-OLDLIC-UP50,adet,USDTRY,4500.00,0,0,20,,EAGLEHAWK NX PLUS 2500 POINTS UPGRADE,,true
CLNXEHPB100UP,UPGRADE LICENSE FOR 102 PANEL-BUS POINTS,Plant Controllers w/ Onboard IO,Honeywell,CLNXEHPB100UP,adet,USDTRY,465.00,0,0,20,,UPGRADE LICENSE FOR 102 PANEL-BUS POINTS,,true
CLNXEHPB255UP,UPGRADE LICENSE FOR 255 PANEL-BUS POINTS,Plant Controllers w/ Onboard IO,Honeywell,CLNXEHPB255UP,adet,USDTRY,1000.00,0,0,20,,UPGRADE LICENSE FOR 255 PANEL-BUS POINTS,,true
CLNXEHSERIES00D,NIAGARA PLANT CONTROLLER W/ HMI W/O IOS,Plant Controllers w/ Onboard IO,Honeywell,CLNXEHSERIES00D,adet,USDTRY,1870.00,0,0,20,,NIAGARA PLANT CONTROLLER W/ HMI W/O IOS,,true
CLNXEHSERIES00ND,NIAGARA PLANT CONTROLLER W/O HMI W/O IOS,Plant Controllers w/ Onboard IO,Honeywell,CLNXEHSERIES00ND,adet,USDTRY,1470.00,0,0,20,,NIAGARA PLANT CONTROLLER W/O HMI W/O IOS,,true
CLNXEHSERIES14D,NIAGARA PLANT CONTROLLER W/ HMI 14 IOS,Plant Controllers w/ Onboard IO,Honeywell,CLNXEHSERIES14D,adet,USDTRY,2226.00,0,0,20,,NIAGARA PLANT CONTROLLER W/ HMI 14 IOS,,true
CLNXEHSERIES14ND,NIAGARA PLANT CONTROLLER W/O HMI 14 IOS,Plant Controllers w/ Onboard IO,Honeywell,CLNXEHSERIES14ND,adet,USDTRY,2175.00,0,0,20,,NIAGARA PLANT CONTROLLER W/O HMI 14 IOS,,true
CLNXEHSERIES26D,NIAGARA PLANT CONTROLLER W/ HMI 26 IOS,Plant Controllers w/ Onboard IO,Honeywell,CLNXEHSERIES26D,adet,USDTRY,2358.50,0,0,20,,NIAGARA PLANT CONTROLLER W/ HMI 26 IOS,,true
CLNXEHSERIES26ND,NIAGARA PLANT CONTROLLER W/O HMI 26 IOS,Plant Controllers w/ Onboard IO,Honeywell,CLNXEHSERIES26ND,adet,USDTRY,2252.50,0,0,20,,NIAGARA PLANT CONTROLLER W/O HMI 26 IOS,,true
CLNXEMC12,ENERGYMANAGER CON BASE LIC 12 METER PTS,Supervisor Cloud,Honeywell,CLNXEMC12,adet,USDTRY,2625.00,0,0,20,,ENERGYMANAGER CON BASE LIC 12 METER PTS,,true
CLNXEMS100-UP,ENERGYMANAGER SUP LIC ADD 100 METER PTS,Niagara Edge,Honeywell,CLNXEMS100-UP,adet,USDTRY,4875.00,0,0,20,,ENERGYMANAGER SUP LIC ADD 100 METER PTS,,true
CLNXEMS1K-UP,ENERGYMANAGER SUP LIC ADD 1K METER PTS,Niagara Edge,Honeywell,CLNXEMS1K-UP,adet,USDTRY,18100.00,0,0,20,,ENERGYMANAGER SUP LIC ADD 1K METER PTS,,true
CLNXEMS25,ENERGYMANAGER SUP BASE LIC 25 METER PTS,Niagara Edge,Honeywell,CLNXEMS25,adet,USDTRY,4050.00,0,0,20,,ENERGYMANAGER SUP BASE LIC 25 METER PTS,,true
CLNXEMS500-UP,ENERGYMANAGER SUP LIC ADD 500 METER PTS,Niagara Edge,Honeywell,CLNXEMS500-UP,adet,USDTRY,12314.17,0,0,20,,ENERGYMANAGER SUP LIC ADD 500 METER PTS,,true
CLNXEMS50-UP,ENERGYMANAGER SUP LIC ADD 50 METER PTS,Niagara Edge,Honeywell,CLNXEMS50-UP,adet,USDTRY,2606.02,0,0,20,,ENERGYMANAGER SUP LIC ADD 50 METER PTS,,true
CLNXENG,WORKPLACE ENGINEERING LICENSE,Niagara Edge,Honeywell,CLNXENG,adet,USDTRY,890.00,0,0,20,,WORKPLACE ENGINEERING LICENSE,,true
CLNX-P-SMA-1Y,SUP-P MAINTENANCE 1 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-P-SMA-1Y,adet,USDTRY,425.00,0,0,20,,SUP-P MAINTENANCE 1 YEAR EXTENSION,,true
CLNX-P-SMA-3Y,SUP-P MAINTENANCE 3 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-P-SMA-3Y,adet,USDTRY,651.23,0,0,20,,SUP-P MAINTENANCE 3 YEAR EXTENSION,,true
CLNX-P-SMA-5Y,SUP-P MAINTENANCE 5 YEAR EXTENSION,Niagara Edge,Honeywell,CLNX-P-SMA-5Y,adet,USDTRY,1152.96,0,0,20,,SUP-P MAINTENANCE 5 YEAR EXTENSION,,true
CLNX-S-10000P,SUPERVISOR - 10000 POINTS,Niagara Edge,Honeywell,CLNX-S-10000P,adet,USDTRY,30200.00,0,0,20,,SUPERVISOR - 10000 POINTS,,true
CLNX-S-10000P-UP,ADD DRIVER CAPACITY 10000 POINTS,Niagara Edge,Honeywell,CLNX-S-10000P-UP,adet,USDTRY,19700.00,0,0,20,,ADD DRIVER CAPACITY 10000 POINTS,,true
CLNX-S-100N,SUPERVISOR - 100 HAWK / EAGLHAWK,Niagara Edge,Honeywell,CLNX-S-100N,adet,USDTRY,19200.00,0,0,20,,SUPERVISOR - 100 HAWK / EAGLHAWK,,true
CLNX-S-100N-UP,UPGRADE TO 100 HAWK/EAGLEHAWK,Niagara Edge,Honeywell,CLNX-S-100N-UP,adet,USDTRY,16700.00,0,0,20,,UPGRADE TO 100 HAWK/EAGLEHAWK,,true
CLNX-S-10N,SUPERVISOR - 10 HAWK / EAGLHAWK,Niagara Edge,Honeywell,CLNX-S-10N,adet,USDTRY,10040.85,0,0,20,,SUPERVISOR - 10 HAWK / EAGLHAWK,,true
CLNX-S-10N-UP,ADD 10 HAWK/EAGLEHAWK,Niagara Edge,Honeywell,CLNX-S-10N-UP,adet,USDTRY,8850.00,0,0,20,,ADD 10 HAWK/EAGLEHAWK,,true
CLNX-S-1250P,SUPERVISOR - 1250 POINTS,Niagara Edge,Honeywell,CLNX-S-1250P,adet,USDTRY,7100.00,0,0,20,,SUPERVISOR - 1250 POINTS,,true
CLNX-S-1250P-UP,ADD DRIVER CAPACITY 1250 POINTS,Niagara Edge,Honeywell,CLNX-S-1250P-UP,adet,USDTRY,6905.48,0,0,20,,ADD DRIVER CAPACITY 1250 POINTS,,true
CLNX-S-1N-200PP,SUPERVISOR - 1 HAWK / EAGLHAWK 200 PROXP,Niagara Edge,Honeywell,CLNX-S-1N-200PP,adet,USDTRY,3650.00,0,0,20,,SUPERVISOR - 1 HAWK / EAGLHAWK 200 PROXP,,true
CLNX-S-1N-200PP-UP,SUPERVISOR - 1 HAWK/EAGLHAWK 200 PROXPUP,Niagara Edge,Honeywell,CLNX-S-1N-200PP-UP,adet,USDTRY,2850.00,0,0,20,,SUPERVISOR - 1 HAWK/EAGLHAWK 200 PROXPUP,,true
CLNX-S-1N-UP,ADD 1 HAWK/EAGLEHAWK,Niagara Edge,Honeywell,CLNX-S-1N-UP,adet,USDTRY,1431.62,0,0,20,,ADD 1 HAWK/EAGLEHAWK,,true
CLNX-S-25000P-UP,ADD DRIVER CAPACITY 25000 POINTS,Niagara Edge,Honeywell,CLNX-S-25000P-UP,adet,USDTRY,39400.00,0,0,20,,ADD DRIVER CAPACITY 25000 POINTS,,true
CLNX-S-2500P,SUPERVISOR - 2500 POINTS,Niagara Edge,Honeywell,CLNX-S-2500P,adet,USDTRY,13700.00,0,0,20,,SUPERVISOR - 2500 POINTS,,true
CLNX-S-2500P-UP,ADD DRIVER CAPACITY 2500 POINTS,Niagara Edge,Honeywell,CLNX-S-2500P-UP,adet,USDTRY,9550.00,0,0,20,,ADD DRIVER CAPACITY 2500 POINTS,,true
CLNX-S-50000P,SUPERVISOR - 50000 POINTS,Niagara Edge,Honeywell,CLNX-S-50000P,adet,USDTRY,57500.00,0,0,20,,SUPERVISOR - 50000 POINTS,,true
CLNX-S-50000P-UP,ADD DRIVER CAPACITY 50000 POINTS,Niagara Edge,Honeywell,CLNX-S-50000P-UP,adet,USDTRY,39100.00,0,0,20,,ADD DRIVER CAPACITY 50000 POINTS,,true
CLNX-S-5000P,SUPERVISOR - 5000 POINTS,Niagara Edge,Honeywell,CLNX-S-5000P,adet,USDTRY,18300.00,0,0,20,,SUPERVISOR - 5000 POINTS,,true
CLNX-S-5000P-UP,ADD DRIVER CAPACITY 5000 POINTS,Niagara Edge,Honeywell,CLNX-S-5000P-UP,adet,USDTRY,14900.00,0,0,20,,ADD DRIVER CAPACITY 5000 POINTS,,true
CLNX-S-500P,SUPERVISOR - 500 POINTS,Niagara Edge,Honeywell,CLNX-S-500P,adet,USDTRY,7550.00,0,0,20,,SUPERVISOR - 500 POINTS,,true
CLNX-S-500P-UP,ADD DRIVER CAPACITY 500 POINTS,Niagara Edge,Honeywell,CLNX-S-500P-UP,adet,USDTRY,3525.00,0,0,20,,ADD DRIVER CAPACITY 500 POINTS,,true
CLNX-S-5N,SUPERVISOR - 5 HAWK / EAGLHAWK,Niagara Edge,Honeywell,CLNX-S-5N,adet,USDTRY,5600.00,0,0,20,,SUPERVISOR - 5 HAWK / EAGLHAWK,,true
CLNXSERIES8,HAWK8 NO WIFI W/O LICENSE,Plant Controllers w/o Onboard IO,Honeywell,CLNXSERIES8,adet,USDTRY,1680.00,0,0,20,,HAWK8 NO WIFI W/O LICENSE,,true
CLNXSERIES8W02,HAWK8 WITH WIFI ZONE 2 W/O LICENSE,Plant Controllers w/o Onboard IO,Honeywell,CLNXSERIES8W02,adet,USDTRY,1460.00,0,0,20,,HAWK8 WITH WIFI ZONE 2 W/O LICENSE,,true
CLNX-S-ESIG-N1K,SUPERV. E-SIGN APPLIC. 1000 SEC. POINTS,Niagara Edge,Honeywell,CLNX-S-ESIG-N1K,adet,USDTRY,23500.00,0,0,20,,SUPERV. E-SIGN APPLIC. 1000 SEC. POINTS,,true
CLNX-S-ESIGN-UNL,SUPERV. E-SIGN APPLIC. UNLIM SEC. POINTS,Niagara Edge,Honeywell,CLNX-S-ESIGN-UNL,adet,USDTRY,78200.00,0,0,20,,SUPERV. E-SIGN APPLIC. UNLIM SEC. POINTS,,true
CLNX-S-ESIGN-UP-1K,SUPERV. E-SIGN ADD. 1000 SECURED POINTS,Niagara Edge,Honeywell,CLNX-S-ESIGN-UP-1K,adet,USDTRY,7850.00,0,0,20,,SUPERV. E-SIGN ADD. 1000 SECURED POINTS,,true
CLNX-S-JSON,JSON TOOLKIT FOR SUPERVISOR SMA REQUIRED,Niagara Edge,Honeywell,CLNX-S-JSON,adet,USDTRY,1301.98,0,0,20,,JSON TOOLKIT FOR SUPERVISOR SMA REQUIRED,,true
CLNX-S-LDAP,"LDAP DB INT, SUPERVISOR. CARD HOLDER DB",Niagara Edge,Honeywell,CLNX-S-LDAP,adet,USDTRY,3575.00,0,0,20,,"LDAP DB INT, SUPERVISOR. CARD HOLDER DB",,true
CLNX-SMA-0001-1YR,EHNX 1YR S/W UPDATE FOR 000 – 099 PTS,Niagara Edge,Honeywell,CLNX-SMA-0001-1YR,adet,USDTRY,195.11,0,0,20,,EHNX 1YR S/W UPDATE FOR 000 – 099 PTS,,true
CLNX-SMA-0001-3YR,EHNX 3YR S/W UPDATE FOR 000 – 099 PTS,Niagara Edge,Honeywell,CLNX-SMA-0001-3YR,adet,USDTRY,250.00,0,0,20,,EHNX 3YR S/W UPDATE FOR 000 – 099 PTS,,true
CLNX-SMA-0001-5YR,EHNX 5YR S/W UPDATE FOR 000 – 099 PTS,Niagara Edge,Honeywell,CLNX-SMA-0001-5YR,adet,USDTRY,295.00,0,0,20,,EHNX 5YR S/W UPDATE FOR 000 – 099 PTS,,true
CLNX-SMA-0002-1YR,EHNX 1YR S/W UPDATE FOR 100 – 249 PTS,Niagara Edge,Honeywell,CLNX-SMA-0002-1YR,adet,USDTRY,86.02,0,0,20,,EHNX 1YR S/W UPDATE FOR 100 – 249 PTS,,true
CLNX-SMA-0002-3YR,EHNX 3YR S/W UPDATE FOR 100 – 249 PTS,Niagara Edge,Honeywell,CLNX-SMA-0002-3YR,adet,USDTRY,200.00,0,0,20,,EHNX 3YR S/W UPDATE FOR 100 – 249 PTS,,true
CLNX-SMA-0002-5YR,EHNX 5YR S/W UPDATE FOR 100 – 249 PTS,Niagara Edge,Honeywell,CLNX-SMA-0002-5YR,adet,USDTRY,270.64,0,0,20,,EHNX 5YR S/W UPDATE FOR 100 – 249 PTS,,true
CLNX-SMA-0005-1YR,EHNX 1YR S/W UPDATE FOR 250 – 499 PTS,Niagara Edge,Honeywell,CLNX-SMA-0005-1YR,adet,USDTRY,192.89,0,0,20,,EHNX 1YR S/W UPDATE FOR 250 – 499 PTS,,true
CLNX-SMA-0005-3YR,EHNX 3YR S/W UPDATE FOR 250 – 499 PTS,Niagara Edge,Honeywell,CLNX-SMA-0005-3YR,adet,USDTRY,367.15,0,0,20,,EHNX 3YR S/W UPDATE FOR 250 – 499 PTS,,true
CLNX-SMA-0005-5YR,EHNX 5YR S/W UPDATE FOR 250 – 499 PTS,Niagara Edge,Honeywell,CLNX-SMA-0005-5YR,adet,USDTRY,640.00,0,0,20,,EHNX 5YR S/W UPDATE FOR 250 – 499 PTS,,true
CLNX-SMA-0010-1YR,EHNX 1YR S/W UPDATE FOR 500-1249 PTS,Niagara Edge,Honeywell,CLNX-SMA-0010-1YR,adet,USDTRY,356.66,0,0,20,,EHNX 1YR S/W UPDATE FOR 500-1249 PTS,,true
CLNX-SMA-0010-3YR,EHNX 3YR S/W UPDATE FOR 500-1249 PTS,Niagara Edge,Honeywell,CLNX-SMA-0010-3YR,adet,USDTRY,640.00,0,0,20,,EHNX 3YR S/W UPDATE FOR 500-1249 PTS,,true
